method,swarm_size,seed,acceptance,welfare,energy_kj_per_task,fairness_gini,latency_ms
Q-learning,200,0,60.258481421647815,0.587136721850429,19.006537840579604,0.16233243967828392,
Q-learning,200,1,64.53287197231833,0.6459764173174217,19.047227825648662,0.15769436997319014,
Q-learning,200,2,57.34375000000001,0.5817055263895695,19.272659640576027,0.1706403269754766,
Q-learning,200,3,58.54838709677419,0.5756383702479019,19.6759447805347,0.1773691460055094,
Q-learning,200,4,60.16666666666667,0.5948544714346804,19.670438427110696,0.1583240997229915,
AL,20,0,5.996472663139329,0.06076220372282397,21.029549855200404,0.16470588235293881,
AL,20,1,7.352941176470589,0.06769891911865017,16.91926075695319,0.16111111111110932,
AL,20,2,6.505295007564296,0.0601749361442733,17.141409356008023,0.14534883720930064,
AL,20,3,5.923344947735192,0.052381383235755155,21.554442988434214,0.20588235294117344,
AL,20,4,7.563025210084033,0.08123347539555029,16.34275358043884,0.17777777777777581,
AL,50,0,18.134715025906736,0.190826096411967,17.314286515362625,0.13047619047618988,
AL,50,1,18.790849673202615,0.195188526444064,15.719323428908913,0.15652173913043413,
AL,50,2,16.317365269461078,0.1671483196271352,16.501290364145927,0.1344954128440361,
AL,50,3,18.013468013468014,0.16754664825907997,16.932813654313474,0.14056074766355076,
AL,50,4,17.06896551724138,0.16913684697217768,17.972963650531497,0.0989898989898985,
AL,100,0,37.83783783783784,0.3711735920409965,15.718379854697883,0.16785714285714248,
AL,100,1,34.22818791946309,0.34402146415781276,17.188446313008267,0.13274509803921533,
AL,100,2,30.962962962962965,0.30442872121578585,16.694216750604316,0.14062200956937765,
AL,100,3,35.17915309446254,0.35610741534308826,16.645883489865465,0.1459259259259256,
AL,100,4,39.04923599320883,0.3799799408057155,15.626006070064614,0.15739130434782578,
AL,200,0,66.5589660743134,0.6538992584236026,16.199330144633976,0.14262135922330083,
AL,200,1,70.06920415224913,0.6974398924039134,16.97026127626437,0.1306172839506171,
AL,200,2,64.6875,0.6446775215452213,16.758918120589332,0.12214975845410615,
AL,200,3,66.12903225806451,0.6452452635346355,16.681185173854388,0.1235365853658535,
AL,200,4,67.0,0.6701593961515085,16.65597783589007,0.1158208955223879,
Greedy,20,0,5.996472663139329,0.06076220372282397,21.029549855200404,0.16470588235293881,
Greedy,20,1,6.862745098039216,0.06639236155281521,18.15842823127621,0.17619047619047412,
Greedy,20,2,6.505295007564296,0.0601749361442733,17.141409356008023,0.14534883720930064,
Greedy,20,3,5.7491289198606275,0.051295726945143665,21.81715163316991,0.196969696969694,
Greedy,20,4,7.226890756302522,0.07932638132078938,16.969378246832637,0.16511627906976553,
Greedy,50,0,16.407599309153714,0.1711670079215476,18.927708071420156,0.16105263157894653,
Greedy,50,1,16.33986928104575,0.17037246064029846,18.4012035466418,0.16999999999999915,
Greedy,50,2,15.568862275449103,0.16012602603863008,17.35445476785248,0.14384615384615318,
Greedy,50,3,17.34006734006734,0.15671449189528208,17.814634922022822,0.11980582524271786,
Greedy,50,4,16.896551724137932,0.16783219845523945,18.194982759028644,0.10775510204081577,
Greedy,100,0,31.41891891891892,0.3092044178758796,18.87382894984829,0.18956989247311776,
Greedy,100,1,31.711409395973156,0.320173119549256,18.920531923033028,0.14597883597883562,
Greedy,100,2,27.111111111111114,0.27908495321709825,19.668277570795397,0.15874316939890665,
Greedy,100,3,31.107491856677527,0.32221041822582774,18.990898251686193,0.16198952879581108,
Greedy,100,4,34.80475382003396,0.33636200657319193,17.556718052708245,0.1309756097560972,
Greedy,200,0,54.76575121163167,0.5316487506877929,20.242021154211233,0.1845132743362829,
Greedy,200,1,60.207612456747405,0.596308047929692,20.232473767617655,0.19137931034482727,
Greedy,200,2,55.46875,0.5629461253641611,19.91111286082689,0.1724647887323941,
Greedy,200,3,55.32258064516129,0.5513028232370076,20.626606114305943,0.17927113702623879,
Greedy,200,4,59.66666666666667,0.5815808486917816,19.514825446493976,0.15446927374301653,
